product_nutrient_id,product_id,nutrient_id,value_per_100g,value_per_serving,unit,source,is_estimated,created_at,updated_at,nutrient
1,1,1,52.0,,kcal,USDA,FALSE,2026-01-22,2026-01-22,energy_kcal
2,1,2,0.26,,g,USDA,FALSE,2026-01-22,2026-01-22,protein
3,1,3,0.17,,g,USDA,FALSE,2026-01-22,2026-01-22,fat
4,1,4,0.028,,g,USDA,FALSE,2026-01-22,2026-01-22,saturated_fat
5,1,5,0.007,,g,USDA,FALSE,2026-01-22,2026-01-22,monounsaturated_fat
6,1,6,0.051,,g,USDA,FALSE,2026-01-22,2026-01-22,polyunsaturated_fat
7,1,7,13.81,,g,USDA,FALSE,2026-01-22,2026-01-22,carbohydrates
8,1,8,10.39,,g,USDA,FALSE,2026-01-22,2026-01-22,sugar
9,1,9,"2,40",,g,USDA,FALSE,2026-01-22,2026-01-22,fiber
10,1,10,0.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,cholesterol
11,1,11,1.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,sodium
12,1,12,107.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,potassium
13,2,1,89.0,,kcal,USDA,FALSE,2026-01-22,2026-01-22,energy_kcal
14,2,2,1.09,,g,USDA,FALSE,2026-01-22,2026-01-22,protein
15,2,3,0.33,,g,USDA,FALSE,2026-01-22,2026-01-22,fat
16,2,4,0.112,,g,USDA,FALSE,2026-01-22,2026-01-22,saturated_fat
17,2,5,0.032,,g,USDA,FALSE,2026-01-22,2026-01-22,monounsaturated_fat
18,2,6,0.073,,g,USDA,FALSE,2026-01-22,2026-01-22,polyunsaturated_fat
19,2,7,22.84,,g,USDA,FALSE,2026-01-22,2026-01-22,carbohydrates
20,2,8,12.23,,g,USDA,FALSE,2026-01-22,2026-01-22,sugar
21,2,9,2.6,,g,USDA,FALSE,2026-01-22,2026-01-22,fiber
22,2,10,0.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,cholesterol
23,2,11,1.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,sodium
24,2,12,358.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,potassium
25,3,1,47.0,,kcal,USDA,FALSE,2026-01-22,2026-01-22,energy_kcal
26,3,2,0.94,,g,USDA,FALSE,2026-01-22,2026-01-22,protein
27,3,3,0.12,,g,USDA,FALSE,2026-01-22,2026-01-22,fat
28,3,4,0.017,,g,USDA,FALSE,2026-01-22,2026-01-22,saturated_fat
29,3,5,0.023,,g,USDA,FALSE,2026-01-22,2026-01-22,monounsaturated_fat
30,3,6,0.025,,g,USDA,FALSE,2026-01-22,2026-01-22,polyunsaturated_fat
31,3,7,11.75,,g,USDA,FALSE,2026-01-22,2026-01-22,carbohydrates
32,3,8,9.35,,g,USDA,FALSE,2026-01-22,2026-01-22,sugar
33,3,9,"2,40",,g,USDA,FALSE,2026-01-22,2026-01-22,fiber
34,3,10,0.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,cholesterol
35,3,11,0.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,sodium
36,3,12,181.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,potassium
37,4,1,32.0,,kcal,USDA,FALSE,2026-01-22,2026-01-22,energy_kcal
38,4,2,0.67,,g,USDA,FALSE,2026-01-22,2026-01-22,protein
39,4,3,0.3,,g,USDA,FALSE,2026-01-22,2026-01-22,fat
40,4,4,0.015,,g,USDA,FALSE,2026-01-22,2026-01-22,saturated_fat
41,4,5,0.043,,g,USDA,FALSE,2026-01-22,2026-01-22,monounsaturated_fat
42,4,6,0.155,,g,USDA,FALSE,2026-01-22,2026-01-22,polyunsaturated_fat
43,4,7,7.68,,g,USDA,FALSE,2026-01-22,2026-01-22,carbohydrates
44,4,8,4.89,,g,USDA,FALSE,2026-01-22,2026-01-22,sugar
45,4,9,2.0,,g,USDA,FALSE,2026-01-22,2026-01-22,fiber
46,4,10,0.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,cholesterol
47,4,11,1.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,sodium
48,4,12,153.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,potassium
49,5,1,69.0,,kcal,USDA,FALSE,2026-01-22,2026-01-22,energy_kcal
50,5,2,0.72,,g,USDA,FALSE,2026-01-22,2026-01-22,protein
51,5,3,0.16,,g,USDA,FALSE,2026-01-22,2026-01-22,fat
52,5,4,0.054,,g,USDA,FALSE,2026-01-22,2026-01-22,saturated_fat
53,5,5,0.007,,g,USDA,FALSE,2026-01-22,2026-01-22,monounsaturated_fat
54,5,6,0.048,,g,USDA,FALSE,2026-01-22,2026-01-22,polyunsaturated_fat
55,5,7,"15,00",,g,USDA,FALSE,2026-01-22,2026-01-22,carbohydrates
56,5,8,15.48,,g,USDA,FALSE,2026-01-22,2026-01-22,sugar
57,5,9,0.9,,g,USDA,FALSE,2026-01-22,2026-01-22,fiber
58,5,10,0.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,cholesterol
59,5,11,2.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,sodium
60,5,12,191.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,potassium
61,6,1,50.0,,kcal,USDA,FALSE,2026-01-22,2026-01-22,energy_kcal
62,6,2,0.8,,g,USDA,FALSE,2026-01-22,2026-01-22,protein
63,6,3,0.4,,g,USDA,FALSE,2026-01-22,2026-01-22,fat
64,6,4,0.05,,g,USDA,FALSE,2026-01-22,2026-01-22,saturated_fat
65,6,5,0.05,,g,USDA,FALSE,2026-01-22,2026-01-22,monounsaturated_fat
66,6,6,0.15,,g,USDA,FALSE,2026-01-22,2026-01-22,polyunsaturated_fat
67,6,7,12.0,,g,USDA,FALSE,2026-01-22,2026-01-22,carbohydrates
68,6,8,8.0,,g,USDA,FALSE,2026-01-22,2026-01-22,sugar
69,6,9,"0,90",,g,USDA,FALSE,2026-01-22,2026-01-22,fiber
70,6,10,0.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,cholesterol
71,6,11,2.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,sodium
72,6,12,200.0,,mg,USDA,FALSE,2026-01-22,2026-01-22,potassium
73,7,1,50.0,,kcal,USDA,FALSE,2026-01-22,2026-01-22,energy_kcal
74,7,2,0.8,,g,USDA,FALSE,2026-01-22,2026-01-22,protein
75,7,3,0.4,,g,USDA,FALSE,2026-01-22,2026-01-22,fat
76,7,4,0.05,,g,USDA,FALSE,2026-01-22,2026-01-22,saturated_fat
77,7,5,0.05,,g,USDA,FALSE,2026-01-22,2026-01-22,monounsaturated_fat
78,7,6,0.15,,g,USDA,FALSE,2026-01-22,2026-01-22,polyunsaturated_fat
79,7,7,12.0,,g,USDA,FALSE,2026-01-22,2026-01-22,carbohydrates
80,7,8,8.0,,g,USDA,FALSE,2026-01-22,2026-01-22,sugar
81,7,9,"0,90",,g,USDA,FALSE,2026-01-22,2026-01-22,fiber
