product_id,name_en,name_ua,type,brand,parent_product_id,barcode,category,subcategory,unit,edible_part_pct,yield_factor,cooking_loss_pct,raw_or_cooked_default,notes,image_url,is_verified,source,created_at,updated_at
1,"Apple, raw, with skin",Яблуко сире з шкіркою,generic,,,,1,5,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
2,"Banana, raw",Банан сирий,generic,,,,1,6,g,68,0.68,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
3,"Orange, raw",Апельсин сирий,generic,,,,1,2,g,70,0.7,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
4,"Strawberries, raw",Полуниця сира,generic,,,,1,3,g,97,0.97,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
5,"Grapes, raw",Виноград сирий,generic,,,,1,3,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
6,"Pear, raw",Груша сира,generic,,,,1,5,g,88,0.88,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
7,"Pineapple, raw",Ананас сирий,generic,,,,1,6,g,56,0.56,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
8,"Blueberries, raw",Чорниця сира,generic,,,,1,3,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
9,"Mango, raw",Манго сире,generic,,,,1,6,g,67,0.67,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
10,"Kiwi fruit, raw",Ківі сирий,generic,,,,1,6,g,76,0.76,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
11,"Peach, raw",Персик сирий,generic,,,,1,4,g,94,0.94,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
12,"Plum, raw",Слива сира,generic,,,,1,4,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
13,"Cherries, sweet, raw",Черешня сира,generic,,,,1,4,g,92,0.92,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
14,"Lemon, raw",Лимон сирий,generic,,,,1,2,g,58,0.58,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
15,"Lime, raw",Лайм сирий,generic,,,,1,2,g,67,0.67,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
16,"Watermelon, raw",Кавун сирий,generic,,,,1,6,g,69,0.69,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
17,"Cantaloupe, raw",Диня канталупа,generic,,,,1,6,g,60,0.6,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
18,"Pomegranate, raw",Гранат сирий,generic,,,,1,6,g,52,0.52,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
19,"Apricot, raw",Абрикос сирий,generic,,,,1,4,g,94,0.94,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
20,"Avocado, raw",Авокадо сире,generic,,,,1,6,g,68,0.68,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
21,"Raspberries, raw",Малина сира,generic,,,,1,3,g,97,0.97,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
22,"Blackberries, raw",Ожина сира,generic,,,,1,3,g,96,0.96,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
23,"Cranberries, raw",Журавлина сира,generic,,,,1,3,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
24,"Fig, raw",Інжир сирий,generic,,,,1,6,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
25,"Dates, fresh",Фініки свіжі,generic,,,,1,6,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
26,"Papaya, raw",Папая сира,generic,,,,1,6,g,72,0.72,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
27,"Guava, raw",Гуава сира,generic,,,,1,6,g,85,0.85,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
28,"Passion fruit, raw",Маракуйя сира,generic,,,,1,6,g,50,0.5,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
29,"Nectarine, raw",Нектарин сирий,generic,,,,1,4,g,93,0.93,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
30,"Tangerine, raw",Мандарин сирий,generic,,,,1,2,g,74,0.74,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
31,"Grapefruit, raw",Грейпфрут сирий,generic,,,,1,2,g,64,0.64,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
32,"Persimmon, raw",Хурма сира,generic,,,,1,6,g,96,0.96,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
33,"Lychee, raw",Лічі сирий,generic,,,,1,6,g,65,0.65,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
34,"Kumquat, raw",Кумкват сирий,generic,,,,1,2,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
35,"Quince, raw",Айва сира,generic,,,,1,5,g,85,0.85,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
36,"Starfruit, raw",Карамбола сира,generic,,,,1,6,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
37,"Jackfruit, raw",Джекфрут сирий,generic,,,,1,6,g,65,0.65,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
38,"Mulberries, raw",Шовковиця сира,generic,,,,1,3,g,96,0.96,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
39,"Gooseberries, raw",Аґрус сирий,generic,,,,1,3,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
40,"Currants, red, raw",Червона смородина,generic,,,,1,3,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
41,"Currants, black, raw",Чорна смородина,generic,,,,1,3,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
42,"Elderberries, raw",Бузина сира,generic,,,,1,3,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
43,"Boysenberries, raw",Бойзенова ягода,generic,,,,1,3,g,96,0.96,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
44,"Plantains, raw",Плантани сирі,generic,,,,1,6,g,66,0.66,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
45,"Soursop, raw",Саурсоп сирий,generic,,,,1,6,g,68,0.68,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
46,"Rambutan, raw",Рамбутан сирий,generic,,,,1,6,g,50,0.5,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
47,"Longan, raw",Лонган сирий,generic,,,,1,6,g,65,0.65,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
48,"Jujube, raw",Зизифус сирий,generic,,,,1,6,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
49,"Acerola, raw",Ацерола сира,generic,,,,1,3,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
50,"Salak, raw",Салак сирий,generic,,,,1,6,g,70,0.7,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
51,"Carrot, raw",Морква сира,generic,,,,7,10,g,88,0.88,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
52,"Potato, raw",Картопля сира,generic,,,,7,10,g,78,0.78,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
53,"Onion, raw",Цибуля сира,generic,,,,7,11,g,89,0.89,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
54,"Garlic, raw",Часник сирий,generic,,,,7,11,g,85,0.85,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
55,"Tomato, raw",Помідор сирий,generic,,,,7,12,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
56,"Cucumber, raw",Огірок сирий,generic,,,,7,12,g,96,0.96,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
57,"Bell pepper, raw",Перець солодкий сирий,generic,,,,7,12,g,92,0.92,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
58,"Zucchini, raw",Кабачок сирий,generic,,,,7,13,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
59,"Eggplant, raw",Баклажан сирий,generic,,,,7,12,g,92,0.92,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
60,"Broccoli, raw",Броколі сира,generic,,,,7,9,g,89,0.89,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
61,"Cauliflower, raw",Цвітна капуста сира,generic,,,,7,9,g,92,0.92,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
62,"Cabbage, green, raw",Капуста білокачанна сира,generic,,,,7,9,g,93,0.93,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
63,"Spinach, raw",Шпинат сирий,generic,,,,7,8,g,91,0.91,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
64,"Lettuce, romaine, raw",Салат ромен сирий,generic,,,,7,8,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
65,"Beetroot, raw",Буряк сирий,generic,,,,7,10,g,87,0.87,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
66,"Radish, raw",Редиска сира,generic,,,,7,10,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
67,"Turnip, raw",Ріпа сира,generic,,,,7,10,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
68,"Sweet potato, raw",Батат сирий,generic,,,,7,10,g,77,0.77,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
69,"Pumpkin, raw",Гарбуз сирий,generic,,,,7,13,g,70,0.7,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
70,"Butternut squash, raw",Гарбуз мускатний сирий,generic,,,,7,13,g,72,0.72,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
71,"Green beans, raw",Квасоля стручкова сира,generic,,,,7,19,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
72,"Peas, green, raw",Горох зелений сирий,generic,,,,7,22,g,85,0.85,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
73,"Corn, sweet, raw",Кукурудза солодка сира,generic,,,,7,14,g,85,0.85,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
74,"Asparagus, raw",Спаржа сира,generic,,,,7,8,g,93,0.93,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
75,"Celery, raw",Селера стеблова сира,generic,,,,7,8,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
76,"Leek, raw",Цибуля-порей сира,generic,,,,7,11,g,83,0.83,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
77,"Mushrooms, white, raw",Печериці сирі,generic,,,,7,56,g,92,0.92,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
78,"Kale, raw",Кале сире,generic,,,,7,8,g,85,0.85,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
79,"Brussels sprouts, raw",Брюссельська капуста сира,generic,,,,7,9,g,88,0.88,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
80,"Arugula, raw",Рукола сира,generic,,,,7,8,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
81,"Okra, raw",Бамія сира,generic,,,,7,13,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
82,"Chard, raw",Мангольд сирий,generic,,,,7,8,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
83,"Parsnip, raw",Пастернак сирий,generic,,,,7,10,g,85,0.85,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
84,"Artichoke, raw",Артишок сирий,generic,,,,7,9,g,65,0.65,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
85,"Fennel, raw",Фенхель сирий,generic,,,,7,8,g,85,0.85,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
86,"Endive, raw",Ендивій сирий,generic,,,,7,8,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
87,"Chili pepper, raw",Перець чилі сирий,generic,,,,7,12,g,88,0.88,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
88,"Bok choy, raw",Пак-чой сирий,generic,,,,7,9,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
89,"Collard greens, raw",Капуста листова сира,generic,,,,7,8,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
90,"Mustard greens, raw",Гірчичне листя сире,generic,,,,7,8,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
91,"Watercress, raw",Крес-салат сирий,generic,,,,7,8,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
92,"Rutabaga, raw",Бруква сира,generic,,,,7,10,g,85,0.85,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
93,"Daikon radish, raw",Дайкон сирий,generic,,,,7,10,g,95,0.95,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
94,"Jerusalem artichoke, raw",Топінамбур сирий,generic,,,,7,10,g,79,0.79,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
95,"Cassava, raw",Маніок сирий,generic,,,,7,10,g,62,0.62,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
96,"Bamboo shoots, raw",Пагони бамбука сирі,generic,,,,7,56,g,92,0.92,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
97,"Seaweed, wakame, raw",Вакаме сирі,generic,,,,7,56,g,70,0.7,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
98,"Seaweed, nori, raw",Норі сирі,generic,,,,7,56,g,70,0.7,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
99,"Kohlrabi, raw",Кольрабі сирий,generic,,,,7,9,g,85,0.85,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
100,"Sorrel, raw",Щавель сирий,generic,,,,7,8,g,90,0.9,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
101,"Rice, white, long-grain, raw",Рис білий довгозернистий сирий,generic,,,,14,15,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
102,"Rice, brown, long-grain, raw",Рис бурий довгозернистий сирий,generic,,,,14,15,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
103,"Wheat flour, white",Пшеничне борошно біле,generic,,,,14,16,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
104,"Wheat flour, whole-grain",Борошно пшеничне цільнозернове,generic,,,,14,16,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
105,"Pasta, dry",Паста суха,generic,,,,14,16,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
106,"Bread, white",Хліб білий,generic,,,,14,16,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
107,"Bread, whole wheat",Хліб цільнозерновий,generic,,,,14,16,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
108,"Oats, raw",Овес сирий,generic,,,,14,17,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
109,Oat flakes,Вівсяні пластівці,generic,,,,14,17,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
110,"Barley, raw",Ячмінь сирий,generic,,,,14,17,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
111,"Pearl barley, raw",Перлова крупа сира,generic,,,,14,17,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
112,"Buckwheat, raw",Гречка сира,generic,,,,14,18,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
113,"Millet, raw",Пшоно сире,generic,,,,14,18,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
114,"Quinoa, raw",Кіноа сира,generic,,,,14,18,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
115,"Couscous, dry",Кускус сухий,generic,,,,14,16,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
116,"Bulgur, dry",Булгур сухий,generic,,,,14,16,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
117,"Cornmeal, whole-grain",Кукурудзяне борошно,generic,,,,14,16,g,100,1.0,0,raw,,,FALSE,USDA,2026-01-22,2026-01-22
